Series Name,Series Code,Country Name,Country Code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Forest area (% of land area),AG.LND.FRST.ZS,Afghanistan,AFG,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088
Forest area (% of land area),AG.LND.FRST.ZS,Albania,ALB,28.59465328,28.64660584,28.69855839,28.75051095,28.8024635,28.80218978,28.79206204,28.7919708,28.7919708,28.7919708
Forest area (% of land area),AG.LND.FRST.ZS,Algeria,DZA,0.808484553,0.811675498,0.814866442,0.818057387,0.821247986,0.821247986,0.815789794,0.810331602,0.81411035,0.81830896
Forest area (% of land area),AG.LND.FRST.ZS,American Samoa,ASM,87,86.85,86.7,86.55,86.4,86.25,86.1,85.95,85.8,85.65
Forest area (% of land area),AG.LND.FRST.ZS,Andorra,AND,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319
Forest area (% of land area),AG.LND.FRST.ZS,Angola,AGO,57.4339761,56.9887511,56.54352611,56.09830111,55.65307612,55.20784471,54.76262934,54.31740595,53.87217454,53.42695115
Forest area (% of land area),AG.LND.FRST.ZS,Antigua and Barbuda,ATG,19.80454545,19.65454545,19.50454545,19.35454545,19.20454545,19.04545455,18.90909091,18.75,18.59090909,18.45454545
Forest area (% of land area),AG.LND.FRST.ZS,Argentina,ARG,10.9587129,10.87708144,10.79544998,10.71381852,10.63218706,10.60039683,10.55983688,10.52037315,10.48017861,10.44071488
Forest area (% of land area),AG.LND.FRST.ZS,Armenia,ARM,11.60351247,11.59620653,11.5889006,11.58159466,11.57428872,11.56691254,11.55953635,11.55216017,11.54478398,11.5374078
Forest area (% of land area),AG.LND.FRST.ZS,Aruba,ABW,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333
Forest area (% of land area),AG.LND.FRST.ZS,Australia,AUS,16.95531026,17.04768884,17.14006743,17.23244601,17.3248246,17.42548771,17.42291362,17.42131456,17.42131456,17.42131456
Forest area (% of land area),AG.LND.FRST.ZS,Austria,AUT,46.83564879,46.88320372,46.93986502,46.98801546,47.03332525,47.07695104,47.12045565,47.16396025,47.20746486,47.25096946
Forest area (% of land area),AG.LND.FRST.ZS,Azerbaijan,AZE,12.60099567,12.71082654,12.82050351,12.92970858,13.03953365,13.15441152,13.27314606,13.41392976,13.55336705,13.69286423
Forest area (% of land area),AG.LND.FRST.ZS,"Bahamas, The",BHS,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494
Forest area (% of land area),AG.LND.FRST.ZS,Bahrain,BHR,0.698826597,0.716883117,0.737662338,0.757457847,0.771208226,0.795892169,0.820512821,0.846153846,0.871794872,0.897435897
Forest area (% of land area),AG.LND.FRST.ZS,Bangladesh,BGD,14.4991442,14.49155105,14.4839579,14.47636475,14.46877161,14.46877161,14.46877161,14.46877161,14.46877161,14.46877161
Forest area (% of land area),AG.LND.FRST.ZS,Barbados,BRB,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279
Forest area (% of land area),AG.LND.FRST.ZS,Belarus,BLR,42.53462126,42.53807107,42.54194019,42.53176531,42.53416626,42.90696987,42.97797921,43.05153217,43.12296778,43.19440339
Forest area (% of land area),AG.LND.FRST.ZS,Belgium,BEL,22.77926024,22.77549538,22.77173052,22.76796565,22.76420079,22.76420079,22.76420079,22.76420079,22.76420079,22.76420079
Forest area (% of land area),AG.LND.FRST.ZS,Belize,BLZ,60.48566418,59.97220517,59.45874616,58.94528715,58.43182815,57.94300745,57.45374836,56.96492766,56.47566857,55.98640947
Forest area (% of land area),AG.LND.FRST.ZS,Benin,BEN,31.79451933,31.35109968,30.90768003,30.46426038,30.02084072,29.57742107,29.13400142,28.69058177,28.24716211,27.80374246
Forest area (% of land area),AG.LND.FRST.ZS,Bermuda,BMU,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852
Forest area (% of land area),AG.LND.FRST.ZS,Bhutan,BTN,71.02521185,71.0771047,71.12899756,71.18089042,71.23278327,71.23427013,71.28617869,71.34556896,71.39748296,71.44939696
Forest area (% of land area),AG.LND.FRST.ZS,Bolivia,BOL,48.80850365,48.61302871,48.41755377,48.22207883,48.0266039,47.77132835,47.53274255,47.31213884,47.10953568,46.92491461
Forest area (% of land area),AG.LND.FRST.ZS,Bosnia and Herzegovina,BIH,41.29351563,41.51945313,41.74539063,41.97132813,42.19726563,42.50996094,42.73261719,42.73261719,42.73261719,42.73261719
Forest area (% of land area),AG.LND.FRST.ZS,Botswana,BWA,28.79572283,28.58698146,28.37824008,28.1694987,27.96075733,27.75201595,27.54327458,27.3345332,27.12579182,26.91705045
Forest area (% of land area),AG.LND.FRST.ZS,Brazil,BRA,61.02332816,60.83917474,60.65502133,60.47086792,60.28671451,60.07103255,59.83288148,59.70842795,59.55852618,59.41747805
Forest area (% of land area),AG.LND.FRST.ZS,British Virgin Islands,VGB,24.24,24.21333333,24.18666667,24.16,24.13333333,24.13333333,24.13333333,24.13333333,24.13333333,24.13333333
Forest area (% of land area),AG.LND.FRST.ZS,Brunei Darussalam,BRN,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186
Forest area (% of land area),AG.LND.FRST.ZS,Bulgaria,BGR,34.60022108,34.7770818,34.95394252,35.13080324,35.30766396,35.38135593,35.50110538,35.62085483,35.74060427,35.86035372
Forest area (% of land area),AG.LND.FRST.ZS,Burkina Faso,BFA,24.36578947,24.18296784,24.0001462,23.81732456,23.63450292,23.45175439,23.26900585,23.08625731,22.90350877,22.72076023
Forest area (% of land area),AG.LND.FRST.ZS,Burundi,BDI,8.219626168,8.887071651,9.554517134,10.22196262,10.8894081,10.8894081,10.8894081,10.8894081,10.8894081,10.8894081
Forest area (% of land area),AG.LND.FRST.ZS,Cabo Verde,CPV,10.67493797,10.74937965,10.82382134,10.89826303,10.97270471,11.0471464,11.12158809,11.19602978,11.27047146,11.34491315
Forest area (% of land area),AG.LND.FRST.ZS,Cambodia,KHM,58.01466123,56.04048266,54.0663041,52.09212554,50.11794697,49.2359506,48.35395423,47.47195785,46.58996148,45.7079651
Forest area (% of land area),AG.LND.FRST.ZS,Cameroon,CMR,44.0957035,43.97723763,43.85877176,43.7403059,43.62184003,43.50337416,43.38490829,43.26644243,43.14797656,43.02951069
Forest area (% of land area),AG.LND.FRST.ZS,Canada,CAN,38.73486407,38.73025757,38.72565107,38.72104457,38.71643807,38.71201338,38.7078876,38.70376294,38.69963717,38.69551251
Forest area (% of land area),AG.LND.FRST.ZS,Cayman Islands,CYM,53,53,53,53,53,53,53,53.375,53,53
Forest area (% of land area),AG.LND.FRST.ZS,Central African Republic,CAF,36.23390799,36.18575235,36.13759671,36.08944107,36.04128543,35.9931298,35.94497416,35.89681852,35.84866288,35.80050724
Forest area (% of land area),AG.LND.FRST.ZS,Chad,TCD,4.290025413,4.188373571,4.086721728,3.985069886,3.883418043,3.787325286,3.693614994,3.601493011,3.511753494,3.425190597
Forest area (% of land area),AG.LND.FRST.ZS,Channel Islands,CHI,5.151515152,5.151515152,5.151515152,5.151515152,5.151515152,5.151515152,5.151515152,5.151515152,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Chile,CHL,22.72857658,22.96281532,23.19705406,23.4312928,23.66553154,23.83086404,23.99619653,24.16152903,24.32686152,24.49215367
Forest area (% of land area),AG.LND.FRST.ZS,China,CHN,21.49109623,21.69659602,21.90209487,22.10759465,22.31309418,22.5428773,22.74231029,22.94173538,23.14116554,23.3405957
Forest area (% of land area),AG.LND.FRST.ZS,Colombia,COL,54.68514105,54.56380171,54.44246237,54.32112303,54.19978369,54.04190176,53.84386661,53.66424516,53.48463272,53.30501127
Forest area (% of land area),AG.LND.FRST.ZS,Comoros,COM,19.80763031,19.57227297,19.33691564,19.1015583,18.86620097,18.62976894,18.39333692,18.16227834,17.92584632,17.68941429
Forest area (% of land area),AG.LND.FRST.ZS,"Congo, Dem. Rep.",COD,60.01968373,59.53386471,59.0480457,58.56222668,58.07640767,57.59058689,57.10477052,56.61894974,56.13312896,55.64731259
Forest area (% of land area),AG.LND.FRST.ZS,"Congo, Rep.",COG,64.60614934,64.57101025,64.53587116,64.50073206,64.46559297,64.43045388,64.39531479,64.35139092,64.30746706,64.26354319
Forest area (% of land area),AG.LND.FRST.ZS,Costa Rica,CRI,56.55240893,56.8729338,57.19345868,57.51398355,57.83450842,58.15511163,58.47571485,58.79612221,59.11672542,59.43732863
Forest area (% of land area),AG.LND.FRST.ZS,Cote d'Ivoire,CIV,12.11538994,11.76040252,11.40541509,11.05042767,10.69544025,10.34044025,9.985440252,9.630440252,9.275471698,8.920471698
Forest area (% of land area),AG.LND.FRST.ZS,Croatia,HRV,34.31736955,34.32451751,34.33166548,33.95652942,33.96359781,34.00106379,34.13338752,34.17759321,34.22177063,34.26594805
Forest area (% of land area),AG.LND.FRST.ZS,Cuba,CUB,27.90863068,28.43720991,29.58357321,30.12497597,30.58597502,31.1514802,31.23314066,31.23314066,31.23314066,31.23314066
Forest area (% of land area),AG.LND.FRST.ZS,Curacao,CUW,0.157657658,0.157657658,0.157657658,0.157657658,0.157657658,0.157657658,0.157657658,0.157657658,0.157657658,0.157657658
Forest area (% of land area),AG.LND.FRST.ZS,Cyprus,CYP,18.70281385,18.7,18.69718615,18.69437229,18.69155844,18.68073593,18.67857143,18.67640693,18.67424242,18.67207792
Forest area (% of land area),AG.LND.FRST.ZS,Czech Republic,CZE,34.43270326,34.46567396,34.4986532,34.52716913,34.5601606,34.57459207,34.60251263,34.63044041,34.65388601,34.67733161
Forest area (% of land area),AG.LND.FRST.ZS,Denmark,DNK,14.00254537,15.04415,15.2351,15.42605,15.617,15.6165,15.64,15.664,15.6875,15.711
Forest area (% of land area),AG.LND.FRST.ZS,Djibouti,DJI,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.242018982,0.243313201,0.245901639,0.250215703
Forest area (% of land area),AG.LND.FRST.ZS,Dominica,DMA,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667
Forest area (% of land area),AG.LND.FRST.ZS,Dominican Republic,DOM,43.03924653,43.16563858,43.29203064,43.41842269,43.54481474,43.71227489,43.87973504,44.0471952,44.21465535,44.3821155
Forest area (% of land area),AG.LND.FRST.ZS,Ecuador,ECU,52.28856499,52.12025286,51.95194073,51.7836286,51.61531648,51.3565389,51.09776131,50.83898373,50.58020615,50.32142857
Forest area (% of land area),AG.LND.FRST.ZS,"Egypt, Arab Rep.",EGY,0.062480285,0.059020543,0.055560802,0.05210106,0.048641318,0.045185594,0.045185594,0.045185594,0.045185594,0.045185594
Forest area (% of land area),AG.LND.FRST.ZS,El Salvador,SLV,30.13416988,29.91698842,29.69980695,29.48262548,29.26544402,29.04826255,28.83108108,28.61389961,28.39671815,28.17953668
Forest area (% of land area),AG.LND.FRST.ZS,Equatorial Guinea,GNQ,89.96976827,89.67180036,89.37383244,89.07586453,88.77789661,88.4798574,88.18181818,87.88377897,87.58573975,87.28770053
Forest area (% of land area),AG.LND.FRST.ZS,Eritrea,ERI,10.72970297,10.69841584,10.66712871,10.63584158,10.60455446,10.57326733,10.5419802,10.51069307,10.47940594,10.44811881
Forest area (% of land area),AG.LND.FRST.ZS,Estonia,EST,55.50879925,55.90979004,54.91175523,55.30278353,55.69381182,55.69933287,56.09385783,56.09385783,56.09385783,56.09385783
Forest area (% of land area),AG.LND.FRST.ZS,Eswatini,SWZ,28.29325581,28.36383721,28.4344186,28.505,28.5755814,28.64651163,28.71686047,28.7872093,28.85755814,28.92790698
Forest area (% of land area),AG.LND.FRST.ZS,Ethiopia,ETH,15.69728395,15.63261905,15.56793063,15.50310992,15.43780939,15.37274233,15.30842662,15.24350842,15.17886663,15.11422483
Forest area (% of land area),AG.LND.FRST.ZS,Faroe Islands,FRO,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659,0.05730659
Forest area (% of land area),AG.LND.FRST.ZS,Fiji,FJI,59.10870279,59.47411056,59.83951834,60.20492611,60.57033388,60.93596059,61.3015873,61.66721401,62.03284072,62.39846743
Forest area (% of land area),AG.LND.FRST.ZS,Finland,FIN,73.30086544,73.41077364,73.52068183,73.63059002,73.73564542,73.73564542,73.73321927,73.73321927,73.73321927,73.73321927
Forest area (% of land area),AG.LND.FRST.ZS,France,FRA,30.13823218,30.29054509,30.442858,30.59517091,30.74748382,30.89979673,31.05210964,31.20442255,31.35673546,31.50904837
Forest area (% of land area),AG.LND.FRST.ZS,French Polynesia,PYF,40.83606557,40.83606557,40.83606557,40.83606557,40.83606557,40.83606557,40.83606557,42.46022727,42.46022727,42.46022727
