Series Name,Series Code,Country Name,Country Code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Afghanistan,AFG,0.426354785,12.75228709,5.600744658,2.724543364,1.45131466,2.260314201,2.647003202,1.189228128,3.911603419,-1.934778249
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Albania,ALB,2.545321845,1.417525992,1.00198715,1.774486785,2.218752232,3.314804753,3.802197488,4.071301295,2.173692288,-3.311239444
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Algeria,DZA,2.899999999,3.4,2.8,3.8,3.7,3.2,1.3,1.2,0.8,-5.480991935
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,American Samoa,ASM,0,-4.334828102,-2.5,1.762820513,3.149606299,-1.679389313,-6.98757764,3.338898164,-1.453957997,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Andorra,AND,-0.008069753,-4.974443719,-3.547596515,2.504465521,1.434140395,3.70967807,0.34607189,1.58876549,2.015547638,-11.95605842
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Angola,AGO,3.471976345,8.542187643,4.954544646,4.822627568,0.943571561,-2.580049644,-0.147212941,-2.003629727,-0.624644318,-4.04051
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Antigua and Barbuda,ATG,-1.958612628,3.3728662,-0.600876397,3.795727613,3.825293099,5.497788456,3.144598617,6.950416555,3.351160885,-15.97350964
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Argentina,ARG,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.565351882,-2.088014861,-9.905234856
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Armenia,ARM,4.699999999,7.200000001,3.3,3.600000001,3.199999999,0.2,7.500000002,5.2,7.599999999,-7.6
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Aruba,ABW,3.44605475,-1.369863014,4.198232323,0.3,5.700000876,2.099999586,1.999999104,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Australia,AUS,2.462756312,3.918162871,2.584897702,2.533114665,2.192647426,2.770652197,2.300610624,2.949285772,2.160956295,-0.284839298
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Austria,AUT,2.922797284,0.680445577,0.025504712,0.661272849,1.014501586,1.989437162,2.399587603,2.580120733,1.418734272,-6.590410425
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Azerbaijan,AZE,-1.572997621,2.202939023,5.843415762,2.797585434,1.049546368,-3.063598454,0.153614647,1.500401707,2.480151591,-4.309989133
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Bahamas, The",BHS,0.613384158,3.08668686,-2.678979525,1.054316467,0.230478124,1.444036489,3.115613515,3.025999168,1.217873857,-16.27773826
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bahrain,BHR,1.983515012,3.72810843,5.41683981,4.350390853,2.485378558,3.558128119,4.290949778,1.720972887,1.98971355,-5.814683428
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bangladesh,BGD,6.464379123,6.521458781,6.013605658,6.061059359,6.552639879,7.113478213,7.284174423,7.86374303,8.152684947,2.375521656
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Barbados,BRB,-0.673289183,-0.455606178,-1.406563965,-0.124547101,2.448701961,2.478698683,0.475110679,-0.580333154,-0.096135553,-17.6053641
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belarus,BLR,5.37870745,1.687135536,1.003470841,1.726384854,-3.829570558,-2.526446436,2.5321835,3.149197594,1.4,-0.9
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belgium,BEL,1.694513899,0.739217283,0.459242193,1.578533143,2.041459009,1.266686409,1.621547198,1.787920078,1.784694379,-6.283929951
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belize,BLZ,1.920864829,2.416382544,1.300691197,4.037129186,2.63368999,-0.032010557,1.812936351,2.908565072,1.76082496,-14.03842116
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Benin,BEN,2.963752919,4.811223316,7.191433721,6.357679098,1.77815106,3.339673426,5.671555469,6.697259461,6.865687336,3.8487924
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bermuda,BMU,-3.742744317,-5.305299107,-0.279708545,-3.701067594,0.7755297,-0.657206304,3.611419837,-0.4328013,0.459889943,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bhutan,BTN,7.982617041,5.118400858,2.119972633,5.77649568,6.642232105,8.127033538,4.651834675,3.055129837,5.46452256,-6.772101611
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bolivia,BOL,5.204092443,5.122275581,6.796011428,5.460569506,4.85718718,4.263920864,4.195206334,4.223623653,2.21670564,-7.82328995
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bosnia and Herzegovina,BIH,0.959511247,-0.821836474,2.349856663,1.153851092,3.089164152,3.149806916,3.171434875,3.740071092,2.831002603,-4.327345806
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Botswana,BWA,6.048361455,4.456144471,11.34339697,4.149262255,-1.697935427,4.303767448,2.903997732,4.478836553,3.025910054,-7.893053589
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brazil,BRA,3.974425406,1.921150318,3.004846305,0.50395574,-3.545763393,-3.275916908,1.322869055,1.783666761,1.411152985,-4.059048273
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brunei Darussalam,BRN,3.745318352,0.912841671,-2.126028517,-2.508352566,-0.39238375,-2.477917718,1.328602552,0.052237791,3.869109803,1.203001939
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bulgaria,BGR,2.354556923,0.356586983,0.325769436,1.885464638,3.989851714,3.82043453,3.50275153,3.092447654,3.69430838,-4.15370283
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burkina Faso,BFA,6.622562613,6.45267238,5.792584845,4.326845615,3.921228794,5.957976708,6.203489411,6.731235608,5.699434934,2.022384695
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burundi,BDI,4.032602496,4.446708222,4.924195261,4.240651644,-3.900003086,-0.600020001,0.500009999,1.609933082,1.842476677,0.297577119
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cabo Verde,CPV,3.968886345,1.081918279,0.802797601,0.611212666,1.006863707,4.705791509,3.702039188,4.531161684,5.66775246,-14.78340501
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cambodia,KHM,7.069569946,7.313345505,7.356665149,7.142571101,7.115694555,6.939060604,6.8414315,7.469169207,7.054106932,-3.141034806
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cameroon,CMR,4.129277161,4.543265016,5.40426571,5.884059327,5.651463744,4.648481551,3.549087318,4.06248684,3.720711423,0.730339198
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Canada,CAN,3.146881372,1.762222549,2.329122506,2.870036075,0.659176864,1.001394414,3.039880225,2.429547545,1.861415379,-5.402798553
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cayman Islands,CYM,1.169062198,1.229753657,1.27933102,2.654527985,2.833122226,3.239976888,3.184043376,4.19434091,3.817100404,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Central African Republic,CAF,4.194615337,5.053761254,-36.3919771,0.081070515,4.33712103,4.750316841,4.527278213,3.789443593,3,0
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Chad,TCD,0.082869798,8.882576072,5.700001363,6.899985045,2.767675685,-6.255527085,-2.988695986,2.3740378,3.247181917,-0.890209999
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Chile,CHL,6.110918829,5.318628,4.045004298,1.766739784,2.303767036,1.711089289,1.184544707,3.713859177,0.942005307,-5.771501669
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,China,CHN,9.550832179,7.863736449,7.766150098,7.425763656,7.041328879,6.848762205,6.947200793,6.749773832,5.949714233,2.3
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Colombia,COL,6.947891982,3.912635767,5.13399352,4.499030001,2.955901375,2.087382502,1.359360868,2.564324283,3.281116805,-6.847314206
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Comoros,COM,4.099846955,3.200272903,4.499874215,2.100006438,1.116140583,3.320680025,3.815702113,3.430764136,1.986109505,4.910777475
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Congo, Dem. Rep.",COD,6.87467089,7.086898947,8.481956636,9.470288097,6.91618781,2.399379098,3.726947653,5.8211211,4.384528881,0.773457032
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Congo, Rep.",COG,2.205919363,9.947153143,-0.712434452,6.716679334,-3.550581765,-10.70209626,-4.373500998,-4.846001061,0.232123661,-7.948712902
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Costa Rica,CRI,4.40315924,4.882592369,2.494766108,3.542109878,3.652080968,4.204323252,4.157698963,2.05620273,2.167951807,-4.539965917
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cote d'Ivoire,CIV,-4.387254789,10.7065041,8.889421302,8.79407739,8.84285995,7.179207824,7.359638088,6.89028432,6.231709513,1.816441461
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Croatia,HRV,-0.198369263,-2.391774269,-0.447092177,-0.341452517,2.431888573,3.498134992,3.439217352,2.807609701,2.858925968,-8.367378217
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cuba,CUB,2.802300836,3.014900289,2.747602563,1.047576632,4.438141959,0.513761468,1.809054399,2.248480393,-0.217448488,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Curacao,CUW,0.612608577,-0.138917069,-0.794106769,-1.138838621,0.278694931,-0.986569701,-1.73976542,-2.166131078,-3.4,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cyprus,CYP,0.401437941,-3.446822086,-6.553078255,-1.829309109,3.21856901,6.438058481,5.154777146,5.240747828,3.075791962,-5.103479519
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Czech Republic,CZE,1.760359624,-0.785004299,-0.045903674,2.262102897,5.388380838,2.53728452,5.168724304,3.198656101,2.313605202,-5.602303764
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Denmark,DNK,1.336777767,0.226499792,0.933340972,1.619393811,2.342591108,3.245956985,2.821736341,2.175646389,2.849514441,-2.733288945
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Djibouti,DJI,..,..,..,7.061543242,7.696085576,6.652650372,5.403099843,8.407662666,7.770497257,0.5
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Dominica,DMA,-0.223550688,-1.059000243,-0.999940631,4.447947365,-2.691108924,2.556494913,-6.79942797,2.29808023,3.459333649,-16.70916029
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Dominican Republic,DOM,3.133423003,2.717367897,4.875205093,7.05046369,6.927018772,6.659200263,4.666704677,6.982527585,5.05216802,-6.720239373
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ecuador,ECU,7.868140919,5.641962067,4.946511267,3.788868549,0.098872608,-1.226383985,2.368386526,1.289291933,0.012105103,-7.750123377
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Egypt, Arab Rep.",EGY,1.764571949,2.226199797,2.185466054,2.91591188,4.372019078,4.346643456,4.181221,5.314121037,5.557683888,3.569669475
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,El Salvador,SLV,3.815356138,2.814342809,2.235684893,1.711314783,2.39746263,2.541545026,2.252358774,2.412371287,2.635146667,-7.943984613
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Equatorial Guinea,GNQ,6.52392363,8.312871844,-4.133198501,0.415066302,-9.110041149,-8.816417232,-5.667502957,-6.236550982,-5.978936905,-4.893356474
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Eritrea,ERI,8.679800101,..,..,..,..,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Estonia,EST,7.426671578,3.110237736,1.346184732,2.987324825,1.844886677,3.187817083,5.49915471,4.355464765,4.996443785,-2.932248056
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Eswatini,SWZ,2.247229761,5.391309307,3.862271882,0.913196495,2.203324126,1.100718394,2.026570236,2.371609694,2.243919525,-1.637027507
