Series Name,Series Code,Country Name,Country Code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,17804292964,20001598506,20561069558,20484885120,19907111419,18017749074,18869945678,18353881130,19291104008,19807067268
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,12890765324,12319830252,12776217195,13228144008,11386846319,11861200797,13019693451,15147020535,15286612573,14799615097
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,2.00013E+11,2.09059E+11,2.09755E+11,2.1381E+11,1.65979E+11,1.60034E+11,1.70097E+11,1.75415E+11,1.71158E+11,1.45164E+11
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,570000000,640000000,638000000,643000000,673000000,671000000,612000000,641000000,638000000,..
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,3629203786,3188808943,3193704343,3271808157,2789870188,2896679212,3000180750,3218316013,3155065488,..
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,1.1179E+11,1.28053E+11,1.3671E+11,1.45712E+11,1.16194E+11,1.01124E+11,1.22124E+11,1.01353E+11,89417190341,62306913444
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,1137637037,1199948148,1181448148,1249733333,1336692593,1436585185,1467977778,1605351852,1661962963,1415059259
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,5.30163E+11,5.45982E+11,5.52025E+11,5.2632E+11,5.94749E+11,5.57531E+11,6.43629E+11,5.17627E+11,4.45445E+11,3.83067E+11
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,10142111334,10619320049,11121465767,11609512940,10553337673,10546135160,11527458566,12457941907,13672802158,12645459214
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,2549720670,2534636872,2727849721,2790849162,2962905028,2983636872,3092430168,3202188607,..,..
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,1.39665E+12,1.54615E+12,1.57618E+12,1.46748E+12,1.35169E+12,1.20885E+12,1.32919E+12,1.43288E+12,1.39657E+12,1.3309E+12
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,4.3112E+11,4.09425E+11,4.30069E+11,4.41996E+11,3.81818E+11,3.95569E+11,4.16207E+11,4.54873E+11,4.45075E+11,4.28965E+11
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,65951627200,69683935845,74164435946,75244294275,53074370486,37867518957,40865558912,47112941176,48174235294,42607176471
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,10070450000,10720500000,10568400000,11111600000,11710800000,11928500000,12490700000,13022100000,13578800000,11250000000
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,28776595745,30749308511,32539468085,33387712766,31050638298,32234973404,35473776596,37652500000,38474521277,..
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,1.28638E+11,1.33356E+11,1.4999E+11,1.72885E+11,1.95079E+11,2.21415E+11,2.49711E+11,2.74039E+11,3.02563E+11,3.24239E+11
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,4657500000,4610000000,4677000000,4696500000,4715000000,4830000000,4978000000,5086500000,5209000000,4365500000
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,61757788945,65685102555,75527984234,78813839984,56454734397,47722657821,54726595249,60031262269,64409647194,60258239056
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,5.22646E+11,4.96181E+11,5.21643E+11,5.34678E+11,4.6215E+11,4.7574E+11,5.01523E+11,5.43411E+11,5.33255E+11,5.15332E+11
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,1460797903,1522897506,1579411253,1667335061,1721700991,1789304088,1858529677,1915899787,1982518541,1763696119
GDP (current US$),NY.GDP.MKTP.CD,Benin,BEN,10693321370,11141358106,12517845128,13284527850,11388160997,11821065852,12701655846,14250987026,14391686309,15651545209
