Series Name,Series Code,Country Name,Country Code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,61.553,62.054,62.525,62.966,63.377,63.763,64.13,64.486,64.833,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,76.914,77.252,77.554,77.813,78.025,78.194,78.333,78.458,78.573,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Algeria,DZA,75.199,75.436,75.661,75.878,76.09,76.298,76.499,76.693,76.88,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,AND,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Angola,AGO,56.33,57.236,58.054,58.776,59.398,59.925,60.379,60.782,61.147,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Antigua and Barbuda,ATG,75.956,76.087,76.218,76.349,76.483,76.617,76.752,76.885,77.016,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,75.439,75.598,75.756,75.913,76.068,76.221,76.372,76.52,76.667,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,73.572,73.82,74.056,74.273,74.467,74.64,74.797,74.945,75.087,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Aruba,ABW,75.158,75.299,75.441,75.583,75.725,75.868,76.01,76.152,76.293,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Australia,AUS,81.89512195,82.04634146,82.14878049,82.3,82.4,82.44878049,82.5,82.74878049,82.9,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Austria,AUT,80.98292683,80.93658537,81.13658537,81.4902439,81.1902439,81.64146341,81.64390244,81.69268293,81.79268293,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Azerbaijan,AZE,71.234,71.506,71.768,72.022,72.266,72.493,72.693,72.864,73.005,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Bahamas, The",BHS,72.263,72.424,72.62,72.847,73.088,73.329,73.554,73.752,73.918,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bahrain,BHR,76.2,76.342,76.484,76.624,76.762,76.899,77.032,77.163,77.292,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bangladesh,BGD,70.256,70.606,70.93,71.231,71.514,71.785,72.052,72.32,72.591,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Barbados,BRB,78.456,78.547,78.633,78.717,78.801,78.888,78.981,79.081,79.19,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belarus,BLR,70.55365854,71.96585366,72.47073171,72.97073171,73.62439024,73.82682927,74.12926829,74.17560976,74.22682927,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belgium,BEL,80.58536585,80.38536585,80.58780488,81.28780488,80.99268293,81.43902439,81.49268293,81.59512195,81.74634146,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belize,BLZ,72.57,73.044,73.452,73.782,74.034,74.219,74.365,74.496,74.623,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Benin,BEN,59.59,59.842,60.092,60.345,60.608,60.885,61.174,61.47,61.771,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bermuda,BMU,81.15268293,81.67780488,80.57243902,80.79731707,81.01219512,81.22707317,81.44195122,81.65170732,81.86658537,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bhutan,BTN,68.84,69.263,69.662,70.046,70.419,70.781,71.129,71.46,71.777,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bolivia,BOL,68.521,69.01,69.468,69.891,70.277,70.626,70.945,71.239,71.513,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bosnia and Herzegovina,BIH,76.219,76.401,76.569,76.723,76.865,76.998,77.128,77.262,77.401,..
