Series Name,Series Code,Country Name,Country Code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Population growth (annual %),SP.POP.GROW,Afghanistan,AFG,3.143105557,3.407600033,3.494591927,3.355602331,3.077053629,2.778034788,2.54783304,2.384309079,2.313073349,2.303812093
Population growth (annual %),SP.POP.GROW,Albania,ALB,-0.269017332,-0.16515104,-0.183211385,-0.207047,-0.291205787,-0.159880412,-0.091972294,-0.246732042,-0.426007367,-0.577942252
Population growth (annual %),SP.POP.GROW,Algeria,DZA,1.883308586,1.951463675,2.002703605,2.033587155,2.045372088,2.051352373,2.044909313,2.007398663,1.933983344,1.836533504
Population growth (annual %),SP.POP.GROW,American Samoa,ASM,-0.588347444,-0.154365338,0.086186779,0.132725923,0.026882443,-0.120130903,-0.219117154,-0.280883888,-0.269018786,-0.20812792
Population growth (annual %),SP.POP.GROW,Andorra,AND,-0.839471761,-1.589923668,-2.030744369,-1.946518269,-1.552134769,-0.898980862,-0.386281039,0.014285251,0.179041785,0.154134127
Population growth (annual %),SP.POP.GROW,Angola,AGO,3.634150215,3.597754539,3.551997427,3.497447411,3.438869368,3.378269432,3.322158363,3.276144588,3.242914028,3.218530352
Population growth (annual %),SP.POP.GROW,Antigua and Barbuda,ATG,1.376375519,1.288027737,1.21265579,1.143043433,1.084181616,1.00909459,0.952914631,0.894078681,0.861445784,0.833667149
Population growth (annual %),SP.POP.GROW,Argentina,ARG,1.15305928,1.136905694,1.1191092,1.099461091,1.078001344,1.057181578,1.037133897,1.015808349,0.993397493,0.970053991
Population growth (annual %),SP.POP.GROW,Armenia,ARM,-0.027042763,0.267429455,0.461930535,0.509812126,0.450705992,0.361260408,0.293899006,0.235799808,0.202624028,0.185983345
Population growth (annual %),SP.POP.GROW,Aruba,ABW,0.377979489,0.503385468,0.58329043,0.590508189,0.541048337,0.502859514,0.471874003,0.459265888,0.437414676,0.428016948
Population growth (annual %),SP.POP.GROW,Australia,AUS,1.389527316,1.745820001,1.72115144,1.491566489,1.439216653,1.561940498,1.684523108,1.536105516,1.521653677,1.258698172
Population growth (annual %),SP.POP.GROW,Austria,AUT,0.337080842,0.455937472,0.589387255,0.781541633,1.120992502,1.081396299,0.694621104,0.487071925,0.444673639,0.419000873
Population growth (annual %),SP.POP.GROW,Azerbaijan,AZE,1.303000855,1.328763827,1.293447027,1.248208997,1.191209858,1.11785721,0.981261805,0.866316916,0.846646726,0.852605732
Population growth (annual %),SP.POP.GROW,"Bahamas, The",BHS,1.30075352,1.105707898,0.980106184,0.93876022,0.959964409,0.990005733,1.007285341,1.012800167,0.99365949,0.961253495
Population growth (annual %),SP.POP.GROW,Bahrain,BHR,2.960815592,1.690358099,1.153907053,1.587599572,2.642766637,3.856576946,4.678047471,4.921024296,4.468687834,3.615324808
Population growth (annual %),SP.POP.GROW,Bangladesh,BGD,1.143828671,1.154006105,1.155950914,1.142930216,1.119091033,1.095288404,1.075535249,1.0535703,1.029196649,1.002774181
Population growth (annual %),SP.POP.GROW,Barbados,BRB,0.302945811,0.25093319,0.209862188,0.186604262,0.176093438,0.164937661,0.150692216,0.143488326,0.132831082,0.121868008
Population growth (annual %),SP.POP.GROW,Belarus,BLR,-0.183624023,-0.091637482,0.015868579,0.089902558,0.159300802,0.12551111,-0.034421419,-0.155570407,-0.694662243,-0.201820684
Population growth (annual %),SP.POP.GROW,Belgium,BEL,1.301002902,0.620163579,0.471340144,0.443929288,0.579446242,0.506300002,0.385228018,0.455184695,0.540461327,0.581620792
Population growth (annual %),SP.POP.GROW,Belize,BLZ,2.381294716,2.324130368,2.254274143,2.19127515,2.116860418,2.049363877,1.982397008,1.922979057,1.882598378,1.845295592
Population growth (annual %),SP.POP.GROW,Benin,BEN,2.803761755,2.797721181,2.790716434,2.78209237,2.771837886,2.761360928,2.749902222,2.734856203,2.71521855,2.692373813
Population growth (annual %),SP.POP.GROW,Bermuda,BMU,-0.863616496,0.361775877,0.312791571,0.210544188,0.151869636,-1.05247098,-1.060534596,0.07199199,-0.009387321,-0.015647493
Population growth (annual %),SP.POP.GROW,Bhutan,BTN,1.130706223,1.187930628,1.22581161,1.233916731,1.220800019,1.20458294,1.195073959,1.17777914,1.146379252,1.110061141
Population growth (annual %),SP.POP.GROW,Bolivia,BOL,1.622359801,1.600043615,1.574579287,1.544977169,1.512942433,1.480195967,1.449144413,1.421890804,1.399133355,1.379527583
Population growth (annual %),SP.POP.GROW,Bosnia and Herzegovina,BIH,-1.20286774,-1.546958415,-1.745364744,-1.722307312,-1.526304511,-1.264728458,-1.030880199,-0.827063452,-0.692266996,-0.613297985
Population growth (annual %),SP.POP.GROW,Botswana,BWA,1.414135504,1.190902166,1.12138806,1.255951583,1.525068549,1.831973136,2.068847655,2.197416468,2.178168817,2.058875027
Population growth (annual %),SP.POP.GROW,Brazil,BRA,0.915965178,0.893525507,0.873605696,0.855795964,0.838838953,0.823752153,0.807145245,0.78384426,0.751550842,0.712872791
Population growth (annual %),SP.POP.GROW,British Virgin Islands,VGB,1.888798534,1.151293868,0.681694348,0.466846184,0.560784502,0.707658971,0.719598502,0.768171966,0.795618291,0.676956294
Population growth (annual %),SP.POP.GROW,Brunei Darussalam,BRN,1.291815066,1.339772073,1.348520767,1.31764439,1.24557202,1.168569854,1.111027783,1.049642828,1.005742274,0.961675068
Population growth (annual %),SP.POP.GROW,Bulgaria,BGR,-0.641228921,-0.579220596,-0.559647217,-0.568389264,-0.638069468,-0.701382098,-0.730443175,-0.722080405,-0.703905641,-0.697303108
